word_de,word_en,word_de_pl,word_en_pl,gender
Auge,eye,Augen,temporary,N
Beispiel,example,Beispiele,temporary,N
Bett,bed,Betten,temporary,N
Bild,"photo, image",Bilder,temporary,N
Brot,bread,Brote,temporary,N
Buch,book,Bücher,temporary,N
Büro,office,Büros,temporary,N
Dorf,village,Dörfer,temporary,N
Ende,end,Enden,temporary,N
Frühstuck,breakfast,Frühstucke,temporary,N
Gebäude,building,Gebäude,temporary,N
Gehalt,salary,Gehälter,temporary,N
Geschenk,gift,Geschenke,temporary,N
Gesetz,the law,Gesetze,temporary,N
Gespenst,ghost,Gespenster,temporary,N
Haar,hair,Haare,temporary,N
Handtuch,towel,Handtücher,temporary,N
Händler,"dealer, distributor",Händler,temporary,N
Klavier,piano,Klaviere,temporary,N
Lenkrad,steering wheel,Lenkräder,temporary,N
Paar,pair,Paare,temporary,N
Schiff,ship (boat),Schiffe,temporary,N
Schild,sign,Schilder,temporary,N
Sinnbild,symbol,Sinnbilder,temporary,N
Territorium,territory,Territorien,temporary,N
Thema,topic,Themen,temporary,N
Tier,animal,Tiere,temporary,N
Ungeheuer,monster,Ungeheuer,temporary,N
Unternehmen,company,Unternehmen,temporary,N
Verb,verb,Verben,temporary,N
Wort,word,Wörter,temporary,N
Zelt,tent,Zelte,temporary,N
Alptraum,nightmare,Alpträume,temporary,M
Anführer,the leader,Anführer,temporary,M
Anruf,call,Anrufe,temporary,M
Austauschstudent,exchange student,Austauschstudenten,temporary,M
Bart,beard,Bärte,temporary,M
Bauer,the farmer,Bauern,temporary,M
Berg,mountain,Berge,temporary,M
Detektiv,detective,Detektive,temporary,M
Dorfbewohner,the villager,Dorfbewohner,temporary,M
Elektriker,electrician,Elektriker,temporary,M
Fall,case (condition),Fälle,temporary,M
Fehler,"mistake, error; software bugs",Fehler,temporary,M
Flughafen,airport,Flughäfen,temporary,M
Flur,hallway,Flure,temporary,M
Fluss,the river,Flüsse,temporary,M
Freund,friend,Freunden,temporary,M
Gegenstand,object; subject matter,Gegenstände,temporary,M
Geldschein,bill,Geldscheine,temporary,M
